Seed, Maze Type, Resolution, Solving Time, Solving Path Percentage, Solving Path Length, Tried Nodes, 1 Branches, 2 Branches, 3 Branches, 4 Branches,2 Length Corridor,3 Length Corridor,4 Length Corridor,5 Length Corridor,6 Length Corridor,7 Length Corridor,8 Length Corridor,9 Length Corridor,10 Length Corridor,11 Length Corridor,12 Length Corridor,13 Length Corridor,14 Length Corridor,15 Length Corridor,16 Length Corridor,17 Length Corridor,18 Length Corridor,19 Length Corridor,20 Length Corridor,21 Length Corridor,22 Length Corridor,23 Length Corridor,24 Length Corridor,25 Length Corridor,26 Length Corridor,27 Length Corridor,28 Length Corridor,29 Length Corridor,30 Length Corridor,31 Length Corridor,32 Length Corridor,33 Length Corridor,34 Length Corridor,35 Length Corridor,36 Length Corridor,37 Length Corridor,38 Length Corridor,39 Length Corridor,40 Length Corridor,41 Length Corridor,42 Length Corridor,43 Length Corridor,44 Length Corridor,45 Length Corridor,46 Length Corridor,47 Length Corridor,48 Length Corridor,49 Length Corridor,50 Length Corridor,51 Length Corridor,52 Length Corridor,53 Length Corridor,54 Length Corridor,55 Length Corridor,56 Length Corridor,57 Length Corridor,58 Length Corridor,59 Length Corridor,60 Length Corridor,61 Length Corridor,62 Length Corridor,63 Length Corridor,64 Length Corridor
315459512,RecursiveDivision,64x64,6.11639,31.80291%,284,893,0.2441406%,24.29199%,53.83301%,21.63086%,57.2357%,23.61352%,11.35182%,4.159445%,2.209705%,0.5199307%,0.4332756%,0.2599653%,0%,0.04332756%,0.04332756%,0%,0.04332756%,0%,0.04332756%,0%,0%,0%,0%,0.04332756%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
226887149,RecursiveDivision,64x64,17.6332,10.77033%,302,2804,0.3173828%,24.26758%,53.66211%,21.75293%,56.92771%,23.9673%,11.83305%,4.001721%,1.893287%,0.5593804%,0.4302926%,0.1290878%,0%,0.172117%,0%,0.04302926%,0%,0%,0%,0%,0.04302926%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
259866529,RecursiveDivision,64x64,7.080793,23.84551%,284,1191,0.4394531%,24.78027%,52.27051%,22.50977%,58.52534%,24.59154%,9.342271%,4.440721%,1.717637%,0.7540846%,0.3351487%,0.1256808%,0.1256808%,0%,0.04189359%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
131692095,RecursiveDivision,64x64,17.16137,34.69027%,392,1130,0.3662109%,24.02344%,54.00391%,21.60645%,58.08125%,22.34226%,11.58168%,4.667243%,1.771824%,0.6914434%,0.4321521%,0.1296456%,0.08643042%,0%,0.08643042%,0.04321521%,0%,0%,0%,0.04321521%,0%,0.04321521%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
676554146,RecursiveDivision,64x64,5.431414,30.27167%,234,773,0.3662109%,24.24316%,53.56445%,21.82617%,56.56652%,24.80687%,10.77253%,4.806867%,1.716738%,0.6008584%,0.472103%,0.1287554%,0.04291845%,0%,0.04291845%,0%,0%,0%,0.04291845%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
628776614,RecursiveDivision,64x64,10.70952,26.93227%,338,1255,0.3173828%,24.78027%,52.63672%,22.26563%,57.95023%,24.5466%,10.58625%,4.133277%,1.223113%,0.6326445%,0.4639393%,0.1265289%,0.2530578%,0%,0.08435259%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
526106077,RecursiveDivision,64x64,25.67792,10.26283%,328,3196,0.3662109%,24.78027%,52.49023%,22.36328%,59.83437%,23.76812%,9.648033%,3.478261%,1.73913%,1.035197%,0%,0.1656315%,0.2070393%,0.1242236%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
596030062,RecursiveDivision,64x64,23.26226,14.35473%,416,2898,0.4638672%,24.46289%,52.83203%,22.24121%,56.89509%,25.50761%,10.7868%,3.807106%,1.734349%,0.5922166%,0.2961083%,0.1692047%,0.1692047%,0%,0%,0%,0.04230119%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
563870815,RecursiveDivision,64x64,20.13898,14.52991%,340,2340,0.2441406%,23.75488%,54.90723%,21.09375%,57.50853%,23.46416%,11.68942%,4.223549%,1.791809%,0.5972697%,0.4266212%,0.08532424%,0.08532424%,0.08532424%,0.04266212%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
369149302,RecursiveDivision,64x64,18.63694,13.66872%,288,2107,0.5859375%,23.97461%,53.44238%,21.99707%,60.38988%,23.01949%,9.207798%,4.189133%,1.783492%,0.6636251%,0.4147657%,0.2073828%,0.04147657%,0.04147657%,0%,0%,0%,0%,0%,0%,0%,0%,0.04147657%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
